calendar_year,calendar_month,route,average_daily_ridership,source,objectid,city
2019,9,B1 OWL,1861,APC,204,Philadelphia
2019,9,63,16615,APC,205,Philadelphia
2019,9,71,4498,APC,206,Philadelphia
2019,9,41,3064,APC,207,Philadelphia
2019,9,K,9320,APC,208,Philadelphia
2019,9,51,7330,APC,209,Philadelphia
2019,9,LUCYGO,1633,APC,210,Philadelphia
2019,9,LUCYGR,1152,APC,211,Philadelphia
2019,9,L1 OWL,2055,APC,212,Philadelphia
2019,9,82,10194,APC,213,Philadelphia
2019,9,81,5581,APC,214,Philadelphia
2019,10,1,2986,APC,215,Philadelphia
2019,10,2,5469,APC,216,Philadelphia
2019,10,3,8836,APC,217,Philadelphia
2019,10,4,7359,APC,218,Philadelphia
2019,10,5,3798,APC,219,Philadelphia
2019,10,6,5993,APC,220,Philadelphia
2019,10,7,5216,APC,221,Philadelphia
2019,10,8,2682,APC,222,Philadelphia
2019,10,9,4856,APC,223,Philadelphia
2019,10,T1,10422,Traffic,224,Philadelphia
2019,10,T4,12150,APC,225,Philadelphia
2019,10,12,2606,APC,226,Philadelphia
2019,10,T3,13221,APC,227,Philadelphia
2019,10,14,6102,APC,228,Philadelphia
2019,10,G1,10194,Traffic,229,Philadelphia
2019,10,16,7259,APC,230,Philadelphia
2019,10,17,9220,APC,231,Philadelphia
2019,10,18,14189,APC,232,Philadelphia
2019,10,19,1405,APC,233,Philadelphia
2019,10,20,4893,APC,234,Philadelphia
2019,10,21,10013,APC,235,Philadelphia
2019,10,22,4426,APC,236,Philadelphia
2019,10,23,16409,APC,237,Philadelphia
2019,10,24,2366,APC,238,Philadelphia
2019,10,25,4481,APC,239,Philadelphia
2019,10,26,11711,APC,240,Philadelphia
2019,10,27,4608,APC,241,Philadelphia
2019,10,28,2082,APC,242,Philadelphia
2019,10,29,4632,APC,243,Philadelphia
2019,10,30,1329,APC,244,Philadelphia
2019,10,31,4974,APC,245,Philadelphia
2019,10,32,5022,APC,246,Philadelphia
2019,10,33,11772,APC,247,Philadelphia
2019,10,T2,12041,APC,248,Philadelphia
2019,10,35,149,APC,249,Philadelphia
2019,10,T5,13620,APC,250,Philadelphia
2019,10,37,3676,APC,251,Philadelphia
2019,10,38,2856,APC,252,Philadelphia
2019,10,39,2617,APC,253,Philadelphia
2019,10,40,7595,APC,254,Philadelphia
2019,10,42,9237,APC,255,Philadelphia
2019,10,43,3973,APC,256,Philadelphia
2019,10,44,3614,APC,257,Philadelphia
2019,10,45,6417,APC,258,Philadelphia
2019,10,46,5822,APC,259,Philadelphia
2019,10,47,18392,APC,260,Philadelphia
2019,10,48,7603,APC,261,Philadelphia
2019,10,49,3139,APC,262,Philadelphia
2019,10,50,2003,APC,263,Philadelphia
2019,10,52,14548,APC,264,Philadelphia
2019,10,53,3042,APC,265,Philadelphia
2019,10,54,6978,APC,266,Philadelphia
2019,10,55,4789,APC,267,Philadelphia
2019,10,56,11609,APC,268,Philadelphia
2019,10,57,10852,APC,269,Philadelphia
2019,10,58,8710,APC,270,Philadelphia
2019,10,59,5329,APC,271,Philadelphia
2019,10,60,10527,APC,272,Philadelphia
2019,10,61,4267,APC,273,Philadelphia
2019,10,62,242,APC,274,Philadelphia
2019,10,64,6458,APC,275,Philadelphia
2019,10,65,8049,APC,276,Philadelphia
2019,10,66,11261,APC,277,Philadelphia
2019,10,67,5060,APC,278,Philadelphia
2019,10,68,2232,APC,279,Philadelphia
2019,10,70,8720,APC,280,Philadelphia
2019,10,73,2525,APC,281,Philadelphia
2019,10,75,3203,APC,282,Philadelphia
2019,10,77,828,APC,283,Philadelphia
2019,10,78,78,APC,284,Philadelphia
2019,10,79,5662,APC,285,Philadelphia
2019,10,80,231,APC,286,Philadelphia
2019,10,84,3873,APC,287,Philadelphia
2019,10,88,2410,APC,288,Philadelphia
2019,10,89,1972,APC,289,Philadelphia
2019,10,90,464,APC,290,Philadelphia
2019,10,92,347,APC,291,Philadelphia
2019,10,93,1241,APC,292,Philadelphia
